X2012.562.subsamp.2.5M	X2012.562.subsamp.10M	X2012.562.subsamp.30M	X2012.563.subsamp.2.5M	X2012.563.subsamp.10M	X2012.563.subsamp.30M	X2012.564.subsamp.2.5M	X2012.564.subsamp.10M	X2012.564.subsamp.30M	X2012.565.subsamp.2.5M	X2012.565.subsamp.10M	X2012.565.subsamp.30M	X2012.566.subsamp.2.5M	X2012.566.subsamp.10M	X2012.566.subsamp.30M	X2012.568.subsamp.2.5M	X2012.568.subsamp.10M	X2012.568.subsamp.30M	X2012.569.subsamp.2.5M	X2012.569.subsamp.10M	X2012.569.subsamp.30M	X2012.570.subsamp.2.5M	X2012.570.subsamp.10M	X2012.570.subsamp.30M	X2012.571.subsamp.2.5M	X2012.571.subsamp.10M	X2012.571.subsamp.30M	X2012.572.subsamp.2.5M	X2012.572.subsamp.10M	X2012.572.subsamp.30M	X2012.574.subsamp.2.5M	X2012.574.subsamp.10M	X2012.574.subsamp.30M	X2012.575.subsamp.2.5M	X2012.575.subsamp.10M	X2012.575.subsamp.30M	X2012.576.subsamp.2.5M	X2012.576.subsamp.10M	X2012.576.subsamp.30M	X2012.577.subsamp.2.5M	X2012.577.subsamp.10M	X2012.577.subsamp.30M
A1BG	1	10	31	5	15	47	2	11	37	4	13	40	2	7	24	0	2	13	2	13	33	4	9	15	1	9	32	5	13	27	2	7	16	2	7	30	3	17	38	0	3	13
A1BG-AS1	19	69	225	11	64	212	18	77	253	16	71	227	18	67	195	17	51	174	10	58	175	16	59	165	17	66	179	12	54	177	15	56	162	21	69	191	13	69	217	16	61	166
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
A2LD1	6	27	91	8	23	72	14	34	96	5	32	90	4	19	102	5	28	85	10	28	91	6	37	82	8	27	65	3	20	68	3	21	56	9	31	73	3	18	69	8	25	78
A2M	0	1	4	2	7	10	0	0	2	0	0	0	0	1	9	1	2	4	1	3	7	0	3	5	0	0	2	0	2	3	0	1	3	0	1	3	1	1	3	1	1	3
A2ML1	1	2	4	0	1	3	0	1	3	0	1	2	0	0	2	1	2	4	0	0	5	0	1	1	0	0	0	0	0	4	0	1	2	1	2	3	0	0	3	0	0	1
A4GALT	1	3	14	6	18	39	0	7	32	1	10	24	1	3	20	1	4	9	2	10	24	4	18	63	6	24	71	8	22	50	6	16	37	6	30	89	5	33	95	4	12	33
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAA1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	0	0	0	1	3	0	0	0	0	1	2	0	0	1	1	1	2
AAAS	132	499	1496	133	576	1725	112	461	1502	219	711	2264	120	439	1452	203	700	2043	117	446	1374	119	540	1600	120	554	1779	169	734	2124	182	737	2271	150	633	1871	146	594	1808	179	685	2163
AACS	165	593	1729	145	658	2010	154	589	1850	145	637	1819	143	590	1702	118	460	1434	104	512	1715	124	505	1572	191	654	1842	106	490	1540	90	440	1332	150	568	1725	142	583	1757	105	474	1419
AACSP1	0	1	6	0	7	12	0	5	11	0	4	10	2	5	7	1	5	9	0	0	10	2	6	10	0	3	18	2	3	6	3	6	13	1	4	18	0	2	9	0	2	14
AADAC	0	0	2	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	17	72	185	12	64	186	16	62	182	20	71	177	20	83	193	12	71	193	14	54	182	26	85	268	15	77	235	15	67	269	18	71	236	26	89	249	25	92	292	25	106	275
AAGAB	219	878	2549	180	817	2330	221	789	2397	191	797	2431	205	877	2632	243	972	2916	199	893	2696	235	916	2738	209	854	2498	230	994	2884	237	926	2690	207	839	2592	198	773	2331	230	910	2688
AAK1	96	347	1041	65	279	887	96	306	856	89	345	920	67	272	850	71	279	842	72	277	875	61	265	738	70	244	692	61	238	751	49	198	653	48	173	489	83	306	916	84	318	958
