                             logFC   AveExpr         t      P.Value  adj.P.Val        B
220526_s_at             -0.6739843 10.427591 -6.825935 1.128916e-06 0.02242677 5.078833
212767_at               -0.7780360  5.986519 -6.402811 2.793079e-06 0.02242677 4.343922
221597_s_at             -0.4014682  5.432913 -6.366924 3.019356e-06 0.02242677 4.280186
203103_s_at             -0.7299976  8.565849 -6.218728 4.172250e-06 0.02324256 4.014703
204282_s_at             -0.4961695  7.429390 -5.865448 9.118700e-06 0.03582175 3.367331
200909_s_at             -0.9896993  9.057710 -5.840326 9.645492e-06 0.03582175 3.320541
218996_at               -0.5846469  5.778534 -5.446358 2.348710e-05 0.07476616 2.574355
200645_at               -0.5650357  7.277874 -5.276336 3.465686e-05 0.07831052 2.245541
203752_s_at             -1.2378144  7.972459 -5.239694 3.770152e-05 0.07831052 2.174179
AFFX-HUMRGE/M10098_5_at -1.1536665  7.468833 -5.237411 3.790001e-05 0.07831052 2.169726
